id,sex,grade,school,SNS_t,SES_t,CSES_t,EIB_t,inter_raw,center_SES
76,1,4,2,-1.2632795527951861,25,16,28,4.493737028532777,-3.557199211045365
77,2,4,2,0.6839886957916379,29,14,19,0.30287073413258914,0.44280078895463504
78,1,2,2,-0.7888340954366958,23,13,26,4.38370821280649,-5.557199211045365
79,2,2,2,-0.25866281665865815,26,20,30,0.6614523506862925,-2.557199211045365
80,1,2,2,0.6394035463534312,25,16,27,-2.274485790628034,-3.557199211045365
81,2,3,2,-0.017091960753404578,27,19,15,0.026615587800419952,-1.557199211045365
82,2,4,1,-0.5712690744525062,34,22,35,-3.109303769135485,5.442800788954635
83,1,1,2,-1.5000620866945669,37,20,32,-12.664725369025826,8.442800788954635
84,2,4,1,0.20548667388568478,29,19,32,0.09098966131624503,0.44280078895463504
85,1,4,2,0.4007480580486187,29,20,29,0.17745155627596623,0.44280078895463504
86,2,4,1,0.5676363870064268,29,24,32,0.25134984000580435,0.44280078895463504
87,1,2,2,0.2500718233238914,28,18,27,-0.13933982266074818,-0.557199211045365
88,1,2,2,0.6878966282377817,24,17,24,-3.134881971485986,-4.557199211045365
89,1,1,2,1.1057366470398051,40,28,40,12.652724177123135,11.442800788954635
90,1,2,2,-1.5686751952581421,30,20,32,-2.2632858093320136,1.442800788954635
91,2,3,1,0.2680216313950465,38,27,35,2.5308748723940533,9.442800788954635
92,2,3,2,-0.6362849063065367,27,16,29,0.9908223541006128,-1.557199211045365
93,1,2,2,-0.4055931425725216,26,24,32,1.0371824641918626,-2.557199211045365
94,2,2,1,0.5534458792800966,28,17,30,-0.30837960729117814,-0.557199211045365
95,2,4,2,-0.0958524040298085,22,12,20,0.6285233080810619,-6.557199211045365
96,2,2,1,-0.6947632992684355,23,19,26,3.8609380585578243,-5.557199211045365
97,2,2,2,0.8224960092967858,30,24,31,1.1866978911254413,1.442800788954635
98,2,3,2,0.05278885265420672,29,23,27,0.023374945603292716,0.44280078895463504
99,1,3,2,0.5392553715537666,32,24,35,1.8565488186333323,3.442800788954635
100,2,2,2,0.23369770545553037,26,17,24,-0.5976115880139944,-2.557199211045365
101,1,2,1,-0.5157274008725439,26,17,24,1.318817702625746,-2.557199211045365
102,2,2,1,0.800341004576849,32,20,27,2.755414641989921,3.442800788954635
103,1,4,1,0.20548667388568478,26,20,32,-0.5254703603408093,-2.557199211045365
104,2,2,1,0.25631199801338506,23,15,20,-1.4243768331414446,-5.557199211045365
105,2,3,1,0.10752210922805087,27,24,40,-0.16743334365985438,-1.557199211045365
106,2,2,1,-0.648143171789517,28,15,24,0.3611448639655593,-0.557199211045365
107,2,3,1,1.1057366470398051,37,28,40,9.33551423600372,8.442800788954635
108,2,2,1,0.23182475105009848,28,15,29,-0.12917256838590302,-0.557199211045365
109,2,2,1,1.1057366470398051,19,17,32,-10.567745410712773,-9.557199211045365
110,2,2,1,0.6881938924404195,26,10,35,-1.7598488787948796,-2.557199211045365
111,2,2,1,-0.2608464268006891,28,20,32,0.1453434232173465,-0.557199211045365
112,2,2,1,-0.06152847809029235,28,15,25,0.03428361944873292,-0.557199211045365
113,1,2,1,0.4007480580486187,36,22,29,2.982687962616297,7.442800788954635
114,1,2,1,0.6839886957916379,29,28,40,0.30287073413258914,0.44280078895463504
115,2,2,1,0.09722536999109448,25,16,24,-0.345850009425915,-3.557199211045365
116,2,2,2,1.1057366470398051,36,28,40,8.229777588963914,7.442800788954635
117,2,1,2,-0.4712908835356561,25,8,12,1.6764755590859088,-3.557199211045365
118,2,1,1,1.1057366470398051,29,22,32,0.4896210596852785,0.44280078895463504
119,1,1,2,-0.07775396385733448,21,20,22,0.587602194318298,-7.557199211045365
120,1,2,1,-0.7158537665890586,25,20,24,2.5464344537344523,-3.557199211045365
121,2,4,1,1.1057366470398051,35,23,38,7.124040941924109,6.442800788954635
122,1,2,2,0.38437394018025767,28,22,32,-0.2141728562148379,-0.557199211045365
123,2,2,2,0.22171215965272692,33,19,31,0.9850229578259712,4.442800788954635
124,2,1,2,1.1057366470398051,28,28,40,-0.6161155873545267,-0.557199211045365
125,1,2,1,0.5676363870064268,30,26,38,0.8189862270122311,1.442800788954635
126,2,4,1,0.9711372659808011,31,20,30,2.372294879521148,2.442800788954635
127,1,2,2,0.12141535275174327,30,18,28,0.1751781667414205,1.442800788954635
128,1,2,1,-0.09803601417183945,21,12,18,0.7408776889534573,-7.557199211045365
129,1,2,1,0.5535945113814155,25,12,18,-1.9692459591250153,-3.557199211045365
130,1,1,2,1.1057366470398051,26,18,31,-2.827588881434137,-2.557199211045365
131,1,1,1,0.11923174260971241,35,28,31,0.7681863653542911,6.442800788954635
132,1,1,1,-2.4952632455766763,22,4,8,16.36193818524588,-6.557199211045365
133,2,2,1,1.1057366470398051,36,20,25,8.229777588963914,7.442800788954635
134,2,1,1,0.41899513032241154,34,19,24,2.2805070258869717,5.442800788954635
135,1,2,1,-1.7791196519931092,22,4,8,11.66604197840452,-6.557199211045365
136,2,2,1,0.9267007486439134,32,17,28,3.190446068556116,3.442800788954635
137,1,2,2,-0.21220471281501962,28,20,29,0.11824029856063718,-0.557199211045365
138,1,3,1,0.8084541336717747,30,20,33,1.1664382618952724,1.442800788954635
139,2,2,2,1.1057366470398051,37,28,40,9.33551423600372,8.442800788954635
140,2,2,1,-0.5034178077991801,23,24,30,2.7975930443277908,-5.557199211045365
141,2,4,2,-0.6704602001447338,29,21,27,-0.29688030558677064,0.44280078895463504
142,2,2,1,0.6658902556191639,24,15,25,-3.03459454755045,-4.557199211045365
143,1,2,1,1.1057366470398051,31,28,40,2.701094353764889,2.442800788954635
144,1,2,1,-0.165584585336101,26,15,26,0.42343277098275134,-2.557199211045365
145,1,2,2,0.0014523757230259597,36,22,24,0.010809743177196171,7.442800788954635
146,2,1,2,0.9570953903557898,33,26,30,4.252184155377548,4.442800788954635
147,2,2,1,0.07088729282668077,27,21,29,-0.11038563646284906,-1.557199211045365
148,2,2,2,-0.6947632992684355,28,18,24,0.38712156221564703,-0.557199211045365
149,1,3,1,0.4026210124540505,36,26,38,2.996627989142721,7.442800788954635
150,1,3,1,0.8043975691243118,35,24,38,5.182573292987307,6.442800788954635
151,1,2,2,-2.4952632455766763,22,4,8,16.36193818524588,-6.557199211045365
152,2,2,1,0.3865575503222885,28,20,28,-0.2153895620632081,-0.557199211045365
153,2,2,2,-0.6298960995157241,22,18,16,4.130354206785059,-6.557199211045365
154,1,2,1,-0.5179110110145747,29,24,30,-0.22933140428554635,0.44280078895463504
155,1,2,1,-0.9335808112085283,32,24,28,-3.2141327533816293,3.442800788954635
156,2,1,1,0.07088729282668077,32,17,34,0.2440508276705548,3.442800788954635
157,1,2,1,0.5673391228037891,28,24,30,-0.3161209116214407,-0.557199211045365
158,2,1,2,0.09722536999109448,25,16,24,-0.345850009425915,-3.557199211045365
159,1,1,2,0.13590312468071108,27,17,24,-0.21162823853140317,-1.557199211045365
160,2,1,2,0.836537884921797,22,16,24,-5.485345559018766,-6.557199211045365
161,1,1,2,0.6878966282377817,25,16,24,-2.446985343248204,-3.557199211045365
162,2,1,2,-0.5136924228318317,25,23,28,1.8273062812173737,-3.557199211045365
163,2,1,2,-0.06356345613100438,27,16,25,0.09898096373851668,-1.557199211045365
164,1,1,2,-0.917503957542805,37,28,39,-7.746303136611394,8.442800788954635
165,1,1,2,0.14979636820440353,33,24,32,0.665515422841063,4.442800788954635
166,2,1,2,-0.6602907412276006,28,12,23,0.3679134800725783,-0.557199211045365
